Time,SSID,BSSID,Signal,Channel,Band,Encryption
2026-09-15 05:19:00,Wolf,b0:ac:d2:34:b7:cb,10,1,2.4,
2026-09-15 05:19:00,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:19:00,karama 1,8c:0d:76:3f:6f:4c,15,1,2.4,
2026-09-15 05:19:00,Angel2,c0:fd:84:d8:80:0f,0,1,2.4,
2026-09-15 05:19:00,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,5,2,2.4,
2026-09-15 05:19:00,Despaseto,5c:c0:a0:5e:d1:98,65,5,2.4,
2026-09-15 05:19:00,A.shawky,30:42:40:8e:d6:1c,24,6,2.4,
2026-09-15 05:19:00,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:19:00,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:19:34,WE_62ED84,50:42:89:62:ed:84,15,1,2.4,
2026-09-15 05:19:34,WE1420A6,d8:29:18:14:20:ac,10,1,2.4,
2026-09-15 05:19:34,Angel2,c0:fd:84:d8:80:0f,0,1,2.4,
2026-09-15 05:19:34,Abdullah,d4:6b:a6:a0:d3:70,0,1,2.4,
2026-09-15 05:19:34,karama 1,8c:0d:76:3f:6f:4c,5,1,2.4,
2026-09-15 05:19:34,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,10,2,2.4,
2026-09-15 05:19:34,WEF1F295,f0:c8:b5:f1:f2:a4,15,3,2.4,
2026-09-15 05:19:34,Despaseto,5c:c0:a0:5e:d1:98,65,5,2.4,
2026-09-15 05:19:34,A.shawky,30:42:40:8e:d6:1c,0,6,2.4,
2026-09-15 05:19:34,WE_DDD440,10:71:b3:dd:d4:41,0,6,2.4,
2026-09-15 05:19:34,TEdata52DE73,e4:fb:5d:52:de:7c,0,7,2.4,
2026-09-15 05:19:34,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:19:34,ibrahim2023,ec:75:3e:ab:0f:a8,15,11,2.4,
2026-09-15 05:19:34,WE_BEDAF0,a4:f3:3b:be:da:f0,0,11,2.4,
2026-09-15 05:19:34,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:20:08,WE1420A6,d8:29:18:14:20:ac,10,1,2.4,
2026-09-15 05:20:08,Wolf,b0:ac:d2:34:b7:cb,0,1,2.4,
2026-09-15 05:20:08,Zamalek,50:42:89:59:d3:14,10,1,2.4,
2026-09-15 05:20:08,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:20:08,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,10,2,2.4,
2026-09-15 05:20:08,WEF1F295,f0:c8:b5:f1:f2:a4,10,3,2.4,
2026-09-15 05:20:08,SSID2,de:f8:b9:9c:a2:0f,0,5,2.4,
2026-09-15 05:20:08,Despaseto,5c:c0:a0:5e:d1:98,65,5,2.4,
2026-09-15 05:20:08,WE_DDD440,10:71:b3:dd:d4:41,0,6,2.4,
2026-09-15 05:20:08,A.shawky,30:42:40:8e:d6:1c,5,6,2.4,
2026-09-15 05:20:08,TEdata52DE73,e4:fb:5d:52:de:7c,5,7,2.4,
2026-09-15 05:20:08,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:20:08,ibrahim2023,ec:75:3e:ab:0f:a8,10,11,2.4,
2026-09-15 05:20:08,Despaseto,5c:c0:a0:5e:d1:9c,13,36,5,
2026-09-15 05:20:43,karama 1,8c:0d:76:3f:6f:4c,10,1,2.4,
2026-09-15 05:20:43,Wolf,b0:ac:d2:34:b7:cb,5,1,2.4,
2026-09-15 05:20:43,WE_C1A3C4,a4:f3:3b:c1:a3:c4,15,1,2.4,
2026-09-15 05:20:43,Zamalek,50:42:89:59:d3:14,15,1,2.4,
2026-09-15 05:20:43,Abdullah,d4:6b:a6:a0:d3:70,5,1,2.4,
2026-09-15 05:20:43,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,10,2,2.4,
2026-09-15 05:20:43,Despaseto,5c:c0:a0:5e:d1:98,70,5,2.4,
2026-09-15 05:20:43,A.shawky,30:42:40:8e:d6:1c,5,6,2.4,
2026-09-15 05:20:43,WE_DDD440,10:71:b3:dd:d4:41,10,6,2.4,
2026-09-15 05:20:43,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:20:43,ibrahim2023,ec:75:3e:ab:0f:a8,15,11,2.4,
2026-09-15 05:20:43,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:21:17,Wolf,b0:ac:d2:34:b7:cb,15,1,2.4,
2026-09-15 05:21:17,karama 1,8c:0d:76:3f:6f:4c,5,1,2.4,
2026-09-15 05:21:17,WE_62ED84,50:42:89:62:ed:84,10,1,2.4,
2026-09-15 05:21:17,WE1420A6,d8:29:18:14:20:ac,15,1,2.4,
2026-09-15 05:21:17,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,10,2,2.4,
2026-09-15 05:21:17,SSID2,de:f8:b9:9c:a2:0f,0,5,2.4,
2026-09-15 05:21:17,Despaseto,5c:c0:a0:5e:d1:98,65,5,2.4,
2026-09-15 05:21:17,A.shawky,30:42:40:8e:d6:1c,29,6,2.4,
2026-09-15 05:21:17,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:21:17,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
2026-09-15 05:21:51,WE1420A6,d8:29:18:14:20:ac,0,1,2.4,
2026-09-15 05:21:51,Wolf,b0:ac:d2:34:b7:cb,10,1,2.4,
2026-09-15 05:21:51,HAMZA,b4:f5:8e:16:82:00,0,1,2.4,
2026-09-15 05:21:51,karama 1,8c:0d:76:3f:6f:4c,20,1,2.4,
2026-09-15 05:21:51,Vodafone_VDSL_6DD8,9c:69:d1:45:6d:e0,20,2,2.4,
2026-09-15 05:21:51,Despaseto,5c:c0:a0:5e:d1:98,24,5,2.4,
2026-09-15 05:21:51,A.shawky,30:42:40:8e:d6:1c,10,6,2.4,
2026-09-15 05:21:51,WE_DDD440,10:71:b3:dd:d4:41,10,6,2.4,
2026-09-15 05:21:51,Joe,10:71:b3:bf:43:51,100,10,2.4,
2026-09-15 05:21:51,ibrahim2023,ec:75:3e:ab:0f:a8,20,11,2.4,
2026-09-15 05:21:51,Despaseto,5c:c0:a0:5e:d1:9c,18,36,5,
